ID,BookName,Publisher,Author,Price
329,Zehirli Dalga,Ren Kitap - Özel Ürün,Sir Arthur Conan Doyle,"27,93"
330,Dünya’nın Çığlığı,Ren Kitap - Özel Ürün,Sir Arthur Conan Doyle,"24,50"
331,Yokuştaki Salyangoz,İthaki Yayınları,Arkadi Strugatski,"81,25"
332,Bir Android’den Öyküler,MonoKL,Nihan Sarı,"49,00"
333,Her Şey Kontrol Altında,İthaki Yayınları,Eda Şahin,"75,40"
334,Ağlamayan Çocuk,Tilki Kitap,Eray Taş,"180,70"
335,Sisler Diyarı,Ren Kitap - Özel Ürün,Sir Arthur Conan Doyle,"34,50"
336,Son İcadımız : Yapay Zeka Ve İnsanlık Çağının Sonu,Pegasus Yayınları,JAMES BARRAT,"90,00"
337,Suskun Kalpler,Epsilon Yayınevi,Sheila O`Flanagan,"64,03"
338,Vampir Avcısı D Cilt 1,Komikşeyler Yayıncılık,Hideyuki Kikuçi,"52,50"
339,Kayıp Dünya,Ren Kitap - Özel Ürün,Sir Arthur Conan Doyle,"34,50"
340,Oleander - Gizli Kılıç,Beyaz Fil Yayınları,Emrah Bektaş,"33,50"
341,Biz,Dex Yayınevi,Yevgeni Zamyatin,"16,25"
342,Zeus'un Şifresi,İlke Basın Yayım,Hakan Güneş,"64,00"
343,Gece Yarısı Güneşi Siyah Şömiz Sert Kapak,Epsilon Yayınevi,Stephenie Meyer,"224,25"
344,Gümüş Hayal - Ara Dünya 2,İthaki Yayınları,Neil Gaiman,"111,15"
345,İnsanın Bir Dakikası,Alfa Yayınları,Stanislaw Lem,"48,75"
346,Kuantum Gecesi,Abis Yayıncılık,Robert J. Sawyer,"66,50"
347,Ottomania,İthaki Yayınları,Erim Şişman,"66,95"
348,Ara Dünya,İthaki Yayınları,Neil Gaiman,"111,15"
349,Kayıp Dünya,İthaki Yayınları,Sir Arthur Conan Doyle,"50,05"
350,Koleje Hoş Geldin,Epsilon Yayınevi,Aleyna Temur,"152,75"
351,TEPEMİZDEKİ GÖLGE,Alfa Yayınları,N. Can Kantarcı,"126,75"
352,Sinaptik Yargıç,Beyaz Fil Yayınları,Kinyas Oz,"23,45"
353,Diana,Yakamoz Yayınevi,Andrew Morton,"48,00"
354,Komadan Notlar,Ayrıntı Yayınları,Mike McCormack,"46,20"
355,Son Irk,Kumran Yayınları,Mert Mesut Eroğlu,"66,50"
356,Geleceğe Kaçış,Mevsimler Kitap,Muhammed Köse,"45,50"
357,Kum,İthaki Yayınları,Hugh Howey,"105,95"
358,Edison's Conquest of Mars,Platanus Publishing,Garrett Putnam Serviss,"60,06"
359,Ejderhanın Yükselişi,Martı Yayınları,Kiersten White,"112,50"
360,Vardiya,İthaki Yayınları,Hugh Howey,"227,50"
361,İnsan Denen Canavar,Yabancı Yayınları,Patrick Ness,"130,00"
362,Apex,Panama Yayıncılık,Ramez Naam,"117,00"
363,Darağacı Şarkısı,Yabancı Yayınları,Anna Day,"169,00"
364,Kaosun Kalbi - Mavi Ejder Serisi,Portakal Kitap,Koray Sarıdoğan,"63,00"
365,Kehanet Vaatleri,Feniks Yayınları,M. S. Asherson,"56,00"
366,Katilbot Günlükleri 4 - Çıkış Stratejisi,İthaki Yayınları,Martha Wells,"61,10"
367,Toz,İthaki Yayınları,Hugh Howey,"135,85"
368,Tünel,Payidar Genç,Gül Arıç,"27,00"
369,İximia,Yılkad Yayınları,Ender Özden,"22,50"
370,Altı Numara,Herdem Kitap,Ahmet Bahadır Sarıkaya,"107,20"
371,Oscar Wao'nun Tuhaf Kısa Yaşamı,İthaki Yayınları,Junot Diaz,"96,85"
372,Kaybolan Şimşek Gibi,Eksik Parça Yayınları,Ada Palmer,"66,50"
373,Üç Başlı Kerberos,Çınar Yayınları,Gertrude Barrows Bennett,"35,00"
374,Kaçak Protokol,İthaki Yayınları,Martha Wells,"57,20"
375,Asi,Epsilon Yayınevi,Marie Lu,"152,75"
376,İsyan,Yabancı Yayınları,Cindy Pon,"169,00"
377,Evren Kütüphanesi,Wizart Yayınları,Kaan Kasım Tüylü,"56,00"
378,Ruhu Olan Robot,Hermes Yayınları,Kenan Kolday,"112,00"
379,Zeugma Darbesi,Cinius Yayınları,Adnan Gökçe,"58,50"
380,Bilimkurgu Öykü Seçkisi 2019,Paradigma Akademi Yayınları - Kültür Kitapları,Kolektif,"104,00"
381,Erkek Kardeşim Kurtadam 2: Yavru Kurt Sevgisi,Pegasus Yayınları,Sienna Mercer,"41,99"
382,Doctor Who - Dehşet Ağı,İthaki Yayınları,Mike Tucker,"39,00"
383,Ben Tanrının Size Yolladığı Cezayım - Cengin Han 1,Dorlion Yayınevi,Rıdvan Ganioğlu,"33,60"
384,Uçan Mabet,İthaki Yayınları,Çiğdem Erkal,"57,20"
385,I-10 Denek,Dorlion Yayınevi,Aneliya Asenova,"65,40"
386,Düzdünya,Destek Yayınları,Edwin A. Abbott,"28,60"
387,Klasik Bilimkurgu Öyküleri,Çınar Yayınları,H. G. Wells,"35,00"
388,Radyo Tiyatrosu - Otostopçunun Galaksi Rehberi,Alfa Yayınları,Douglas Adams,"87,75"
389,Kızıl Mars,İthaki Yayınları,Kim Stanley Robinson,"168,35"
390,Tüm Sistemler Çöktü,İthaki Yayınları,Martha Wells,"61,10"
391,Kumsalda,İthaki Yayınları,Nevil Shute,"89,70"
392,Sorgu ve Sır,Yabancı Yayınları,Patrick Ness,"130,00"
393,Türk Bilimkurgu Edebiyatı ve Arketipler,Günce Yayınları - Akademik Kitaplar,Veli Uğur,"52,50"
394,Halka Dünya Mühendisleri,Panama Yayıncılık,Larry Niven,"84,50"
395,Kırmızı Top,Kumdan Kale,Mehmet Barış Albayrak,"40,60"
396,Korkunç Harry,Altın Kitaplar,Sonja Kaiblinger,"36,00"
397,Ninefox Gambit,Salon Yayınları,Yoon Ha Lee,"80,40"
398,Lucky Strike,Ayrıntı Yayınları,Kim Stanley Robinson,"34,65"
399,Gece Kuşları,Dex Yayınevi,George R. R. Martin,"38,35"
400,Genesis Girl - Yaratıcı Kız,Pay Yayınları,Jennifer Bardsley,"15,12"
401,Doctor Who: Buz Çarkı,İthaki Yayınları,Stephen Baxter,"111,80"
402,Düş Mühendisi 2123,Cinius Yayınları,Semih Bulgur,"117,00"
403,Dünyalar Savaşı,Alfa Yayınları,H. G. Wells,"48,75"
404,Dirk Gently'nin Holistik Dedektiflik Bürosu,Alfa Yayınları,Douglas Adams,"61,75"
405,Bu Ölümsüz,İthaki Yayınları,Roger Zelazny,"68,25"
406,İmparatorluğun Çöküşü,İthaki Yayınları,John Scalzi,"92,95"
407,Yeni Tabular,Ayrıntı Yayınları,John Shirley,"34,65"
408,Chocky,Delidolu,John Wyndham,"66,75"
409,Umut Bıçağı,Yabancı Yayınları,Patrick Ness,"110,50"
410,Gece Yarısı Gezegeninden Raporlar,Ayrıntı Yayınları,Nalo Hopkinson,"34,65"
411,Çirkin Sesler Korosu,Yitik Ülke Yayınları,Tülay Güzeler,"97,50"
412,Kırılmış - Soğuk Uyanış Serisi 2. Kitap,Martı Yayınları,Robin Wasserman,"75,00"
413,Parçalanmış - Soğuk Uyanış Serisi 3. Kitap,Martı Yayınları,Robin Wasserman,"75,00"
414,Vahşi Kızlar,Ayrıntı Yayınları,Ursula K. Le Guin,"34,65"
415,Anno Domini 2071,Profil Kitap,Pieter Harting,"49,00"
416,Son Ve Ötesi,Yabancı Yayınları,Patrick Ness,"182,00"
417,Kazıkçı,Artemis Yayınları,Kevin Hearne,"81,25"
418,Karanlık Rahibe,Artemis Yayınları,Philippa Gregory,"126,75"
419,Resimli Adam,İthaki Yayınları,Ray Bradbury,"89,70"
420,Kaybolan Hazineler,Tiydem Yayıncılık,G. Grebnev,"18,75"
421,Alenka’nın Asteroidi,Tiydem Yayıncılık,F. Dimov,"18,75"
422,Gelecek Irk,Kyrhos Yayınları,Edward Bulwer Lytton,"53,20"
423,ENDER'İN GÖLGESİ,Pegasus Yayınları,Orson Scott Card,"96,00"
424,Kızıl İsyan Serisi Özel Kutulu Set 3 Cilt Takım,Pegasus Yayınları,Pierce Brown,"420,00"
425,Oyunbozan,Pegasus Yayınları,James Dashner,"81,00"
426,Sarı Kırlangıçlar Hanı,Baygenç Yayıncılık,Bahadır Arıcı,"16,25"
427,Supra - Bir Parçacık Sonsuzluk,h2o Kitap,Taner Güler,"48,30"
428,Eski Mars,Kalkedon Yayıncılık,George R. R. Martin,"157,50"
429,Eski Venüs,Kalkedon Yayıncılık,George R. R. Martin,"157,50"
430,Sonsuzluğun Sınırında,Yabancı Yayınları,Melissa E. Hurst,"149,50"
431,Altın Oğul - Kızıl İsyan 2,Pegasus Yayınları,Pierce Brown,"96,00"
432,Geleceğin Şifresi,Akıl Çelen Kitaplar,Brian Falkner,"91,00"
433,Vatra: Zamanın Kaldırma Kuvveti,Matbuat Yayınları,Ali Güner Temelli,"68,00"
434,Mass Effect - İntikam,Akıl Çelen Kitaplar,Drew Karpyshyn,"70,00"
435,Kr1pt0,Akıl Fikir Yayınları,Oğuz Gül,"100,10"
436,Zamanla Randevu,Panama Yayıncılık,Orhan Yeniaras,"71,50"
437,Ra Çağı,Kassandra Yayınları,James Lovegrove,"122,50"
438,Ket Yıldızı,Doruk Yayınları,Aleksandr Romanoviç Belyaev,"98,00"
439,Gio Ödülleri 2013 Seçilmiş Öyküler,İthaki Yayınları,Kolektif,"36,40"
440,100Dünya 3: Abisler'in Çağrısı,On8 Kitap,Danielle Martinigol,"49,00"
441,Demir Dağ’daki Güneş,Kassandra Yayınları,David Wingrove,"140,00"
442,Yürüyen Kentler,On8 Kitap,Philip Reeve,"87,50"
443,Yürüyen Kentler 4. Kitap - Karanlık Düzlük,On8 Kitap,Philip Reeve,"112,00"
444,Yürüyen Kentler 3 - Cehennem Makineleri,On8 Kitap,Philip Reeve,"98,00"
445,Yürüyen Kentler 2. Kitap - İhanet Altını,On8 Kitap,Philip Reeve,"87,50"
446,Akıl Hırsızı,Akıl Çelen Kitaplar,Brian Falkner,"91,00"
447,Son Tiryaki,Metis Yayınları,Müfit Özdeş,"83,16"
448,Akisfer,Çizmeli Kedi Yayınları,Sadık Yemni,"28,00"
449,Zaman Çarkı 5. Cilt: Göğün Ateşleri,İthaki Yayınları,Robert Jordan,"427,70"
450,Yaylı Bacak Jack,Altıkırkbeş Yayınları,Mark Hodder,"105,00"
451,Aklın Çocukları,Altıkırkbeş Yayınları,Orson Scott Card,"84,00"
452,Hybrids-Melezler,Abis Yayıncılık,Robert J. Sawyer,"59,50"
453,Hominids - İnsansılar,Abis Yayıncılık,Robert J. Sawyer,"63,00"
454,Rüzgargülü,Ayrıntı Yayınları,Ursula K. Le Guin,"83,16"
455,Artemis Fowl Opal’in Oyunu,Artemis Yayınları,Eoin Colfer,"74,75"
456,Cellat,Ephesus Yayınları,Cihan Erdem,"33,00"
457,Direniş,Pegasus Yayınları,Mira Grant,"90,00"
458,Aztek Çağı,Kassandra Yayınları,James Lovegrove,"136,50"
459,Yara,Yordam Kitap,China Mieville,"128,80"
460,İskambil Kağıtlarının Esrarı,Pan Yayıncılık,Jostein Gaarder,"175,00"
461,Kadınlar Kulesi,Everest Yayınları,Zoe Fairbairns,"61,75"
462,Semenderlerle Savaş,Everest Yayınları,Karel Çapek,"55,25"
463,Timothy Archer,Altıkırkbeş Yayınları,Philip K. Dick,"63,00"
464,Elmas Çağı,Altıkırkbeş Yayınları,Neal Stephenson,"105,00"
465,Psi-Kom Sayı: 1,Remzi Kitabevi,Jason Hendersen,"42,00"
466,İyi Güzel Muhteşem Yarın,VERSUS KİTAP YAYINLARI,Cory Doctorow,"60,00"
467,Andromeda’ya Dönüş Durkonlar,Umuttepe Yayınları,Kazım Çende,"87,00"
468,Çöpçü Gezegenler,Tiydem Yayıncılık,A. Şalimov,"20,00"
469,Ve Başka Bir Şey Daha,Kabalcı Yayınevi - Özel Ürünler,Eoin Colfer,"26,95"
470,On Beş Yaşında Bir Kaptan - 1. Cilt,İthaki Yayınları,Jules Verne,"37,05"
471,Korkunç Kale Üçüncü Kitap,Kabalcı Yayınevi - Özel Ürünler,C. S. Lewis,"21,00"
472,Hayallerinin Sınırsız Dünyası,Sinemis Yayınları,Zafer Alcan,"37,88"
473,Rocannon’un Dünyası,Metis Yayınları,Ursula K. Le Guin,"58,52"
474,Asker Kaçağı,Metis Yayınları,Bülent Somay,"69,30"
475,Korkunun Bütün Sesleri,Metis Yayınları,Harlan Ellison,"58,52"
476,Balıkçıl Gözü,Metis Yayınları,Ursula K. Le Guin,"64,68"
477,Hayalet Tugay,İthaki Yayınları,John Scalzi,"50,70"
478,Erewhon’a İkinci Ziyaret,Kyrhos Yayınları,Samuel Butler,"61,60"
479,Online Alemin Flört Rehberi,Martı Yayınları,Eric Smith,"11,75"
480,Karanlık Evren Kehanetleri,Perseus,Polat Onat,"35,40"
481,Wildcard: Joker Oyuncunun Hikayesi,Yabancı Yayınları,Marie Lu,"100,75"
482,John Carter Dünyasına Giriş Seti,Fihrist Kitap,Edgar Rice Burroughs,"136,09"
483,Geleceğin Yazarları 2,Tortuga Yayınları - Özel Baskı,L. Ron Hubbard,"11,90"
484,Dünya: Yeni Bir Başlangıç,Martı Yayınları,Peter David,"17,50"
485,Kırmızı Saatler,İthaki Yayınları,Leni Zumas,"9,90"
486,Lum’en,Numen Yayıncılık,Laurent Genefort,"25,92"
487,Do Androids Dream Of Electric Sheep?,Orion Paperbacks,Philip K. Dick,"153,00"
488,Dokuz Dünya ve Güçleri - Dost Musunuz Düşman Mı?,Elpis Yayınları,Mehmet Burak Gürtunca,"86,18"
489,Kıyamet Senaryoları,Literatürk Academia,Semra Kotan,"68,40"
490,Bir Zaman Gezgininin Anıları,Yazarın Kendi Yayını – Murat K. Beşiroğlu,Murat K. Beşiroğlu,"38,40"
491,Collins Big Cat Phonics - The Rainforest at Night Band 04 - Blue,HarperCollins - Nüans,Nic Bishop,"157,70"
492,Sınır 2700 Saklı Ülke,Kitap Müptelası Yayınları,Özgecan Doğan,"94,50"
493,Sınır 2700,Kitap Müptelası Yayınları,Özgecan Doğan,"106,50"
494,Mona Lisa Aşırı Yükleme,Altıkırkbeş Yayınları,William Gibson,"34,30"
495,Heidegger`in Deneyi,Gram Yayınları,Nathaniel Hawthorne,"3,50"
496,Kont Sıfır,Altıkırkbeş Yayınları,William Gibson,"34,30"
497,Maymun Pençesi,Gram Yayınları,W. W. Jacobs,"3,50"
498,Göç,İş Bankası Kültür Yayınları,Julie Bertagna,"7,22"
499,Kaybolan Miras,Metis Yayınları,Robert A. Heinlein,"1,14"
500,Şimdi ve Daima,İthaki Yayınları,Ray Bradbury,"10,40"
501,Pısırıklar Çağı,Metis Yayınları,Frederik Pohl,"1,42"
502,İki Dünya Savaşıyor,Metis Yayınları,Poul Anderson,"1,42"
503,Ve Sonra Hiç Kalmadı,Metis Yayınları,Eric Frank Russell,"1,57"
504,Uzay Elbisemle Yolculuğa Hazırım,Metis Yayınları,Robert A. Heinlein,"2,14"
505,Ergenlik Ayini,Metis Yayınları,Alexei Panshin,"2,14"
506,İkiz Yıldız,Metis Yayınları,Robert A. Heinlein,"1,57"
507,Hukuk Gladyatörü,Metis Yayınları,F. Pohl,"1,42"
508,Otomatik Piyano,Metis Yayınları,Kurt Vonnegut,"2,71"
509,Yer Açın! Yer Açın!,Metis Yayınları,Harry Harrison,"2,14"
510,Kızıl Gezegen,Metis Yayınları,Robert A. Heinlein,"1,42"
511,Uzay Tacirleri,Metis Yayınları,C.M. Kornbluth,"1,42"
512,Paslanmaz Çelik Sıçanın İntikamı,Metis Yayınları,Harry Harrison,"1,42"
513,Kobaylar Kampı,Metis Yayınları,Thomas M. Disch,"2,14"
514,Şok Dalgası Süvarisi,Metis Yayınları,John Brunner,"2,14"
515,Teşkilat,Metis Yayınları,Cyril M. Kornbluth,"1,42"
516,Mevki Uygarlığı,Metis Yayınları,Robert Sheckley,"1,57"
517,Paslanmaz Çelik Sıçan,Metis Yayınları,Harry Harrison,"1,57"
518,En Son Kale,Metis Yayınları,Ferhan Ertürk,"0,72"
519,Öteki Hayat,Mantis Yayınları,Murat K. Beşiroğlu,"40,00"
520,Kanyonaltı’nda Bir Tekinsiz,Mantis Yayınları,Gökçe Mehmet Ay,"40,00"
521,Terra – Yeni Dünya,Beyaz Fil Yayınları,Semih Mustafa Kuru,"35,00"
522,Gargantis Bez Ciltli - Şömizli,Genç Timaş,Thomas Taylor,"49,00"
523,Katran Adam,Dionysos Yayın Group,Gox Arion,"33,75"
524,"Fantastik, Bilim Kurgu Roman Seti 9 Kitap Takım",Vaveyla Yayıncılık,Kolektif,"79,20"
525,"Houston, Houston Duyuyor Musun?",İthaki Yayınları,James Tiptree Jr.,"20,15"
526,Kefaret Gemisi - Keşif Uzayı Serisi 2,İndie Yayınları,Alastair Reynolds,"61,64"
527,Bir Gün Mutlaka,Epsilon Yayınevi,Debbie Macomber,"109,53"
528,Bilimkurgu Seti 3 Kitap Takım,Laputa Kitap,Kurd Lasswitz,"29,90"
529,Kızıl Veba,Lotus Yayın Grubu,Jack London,"37,60"
530,Yıldız Güncesi,Alfa Yayınları,Stanislaw Lem,"81,25"
531,Wool Serisi Kutulu Set 3 Kitap Takım,İthaki Yayınları,Hugh Howey,"253,50"
532,Simülasyon,Kavim Yayıncılık,Pervin Dalgıç,"31,50"
533,Bilimkurgu ve Bilimdışı Kurmaca,Yort Kitap,Quentin Meillassoux,"29,75"
534,Star Wars Battlefront 1 - Alacakaranlık Bölüğü,Dex Yayınevi,Alexander Freed,"29,90"
535,Star Wars Battlefront 2 - Cehennem Mangası,Dex Yayınevi,Christie Golden,"26,00"
536,Kara Panter Kimdir? - Black Panther,İthaki Yayınları,Jesse J. Holland,"19,50"
537,Androidler Elektrikli Koyun Düşler Mi?,Alfa Yayınları,Philip K. Dick,"74,75"
538,Somnium ya da Ay Astronomisi,Kırmızı Kedi Yayınevi,Johannes Kepler,"21,00"
539,Doctor Who : Siluet,İthaki Yayınları,Justin Richards,"32,50"
540,Sprawl Üçlemesi 3 Kitap,Altıkırkbeş Yayınları,William Gibson,"98,00"
541,Radyo Tiyatrosu - Otostopçunun Galaksi Rehberi,Alfa Yayınları,Douglas Adams,"78,00"
542,Zaman Makinesi,Perseus,H. G. Wells,"2,78"
543,Başka Dünyalarda Canlı Mahlukat Var Mıdır?,Kara Karga Yayınları,Osman Nuri Eralp,"9,75"
544,Yaşlı Adamın Savaşı,İthaki Yayınları,John Scalzi,"48,75"
545,Cadılar Okulu 6 - Konuşan Hayvanlar,Teen Yayıncılık,Jill Murphy,"12,50"
546,Cadılar Okulu 7 - Dilek Yıldızı,Teen Yayıncılık,Jill Murphy,"12,50"
547,Cadılar Okulu 5 - Kurtarma Operasyonu,Teen Yayıncılık,Jill Murphy,"12,50"
548,Ejderhanı Nasıl Eğitirsin 1,Epsilon Yayınevi,Cressida Cowell,"38,03"
549,Bts,Martı Yayınları,Katy Sprinkel,"13,75"
550,Gözlerin Ardındaki Sanal Bedenler,Cağaloğlu Yayınevi,Dilay Nisa Vural,"14,00"
551,Kül,Novella Dinamik,Shani Petroff,"17,50"
552,Edebiyatın İzinde - Fantastik ve Bilimkurgu,Bağlam Yayınları,Kolektif,"88,00"
553,Uzaktan Kumandalı Kız,İthaki Yayınları,James Tiptree Jr.,"22,10"
554,Elektrikız,Mavi Kirpi Yayınları,Jo Cotterill,"23,50"
555,Hekimin Filozof Hali,İthaki Yayınları,M. Bilgin Saydam,"27,95"
556,Göktürkler,Baygenç Yayıncılık,Salih Eren Çetin,"19,50"
557,Lat,Kara Karga Yayınları,H. Demir,"7,22"
558,Evrenin Türküsü,Sarmal Yayınevi,G. Altov,"3,45"
559,Donmuş - Soğuk Uyanış Serisi 1. Kitap,Martı Yayınları,Robin Wasserman,"24,50"
560,Babam Sağ Olsun - Frankenstein 200 Yaşında,Doğan Kitap,Özgür Çiçek,"15,75"
561,Sonsuz Gemi,Yapı Kredi Yayınları,Francesca Haig,"29,90"
562,Schrödinger'in Kedisi : Rüya,Everest Yayınları,Alev Alatlı,"10,84"
563,Yenilmez,İthaki Yayınları,Stanislaw Lem,"31,20"
564,Sonsuz Işığım,GO! Kitap,Amie Kaufman,"22,50"
565,Ay Zalim Bir Sevgilidir,İthaki Yayınları,Robert A. Heinlein,"65,00"
566,Kızıl Kraliçe Serisi,Pegasus Yayınları,Victoria Aveyard,"270,00"
567,Kurma Kız,Aylak Kitap,Paolo Bacigalupi,"44,25"
568,2312,İthaki Yayınları,Kim Stanley Robinson,"37,70"
569,2001: Bir Uzay Destanı,İthaki Yayınları,Arthur C. Clarke,"24,70"
570,Güneşin Altın Elmaları,İthaki Yayınları,Ray Bradbury,"24,05"
571,Sonsuz Gençlik Tröstü,Cinius Yayınları,Bülent Özden,"12,73"
572,The Book Of Madness,Çitlembik Yayınevi,Levent Şenyürek,"8,15"
573,Başlayanlar,Dex Yayınevi,Lissa Price,"12,64"
574,Çıldırtan Kitap,Çitlembik Yayınevi,Levent Şenyürek,"7,04"
575,Yollar Nereye Düşer,Bilgi Yayınevi,Nurcihan Doğuç,"6,95"
576,Hamlin Çocukları Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,Carmen Carter,"14,00"
577,Bilim Kurgu Star Trek - Uzay Yolu 4 Kitap Takım,Art Basın Yayın Hizmetleri,David Gerrold,"44,80"
578,Zaman Makineleri,Arkadaş Yayınları,Paul J. Nahin,"15,28"
579,Zamanda Kıvrılma,Arkadaş Yayınları,Madeleine Lengle,"5,63"
580,Hayalet Gemi Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,Diane Carey,"14,00"
581,Farpoint’te Karşılaşma Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,David Gerrold,"14,00"
582,Tanrı Beyni,Alfa Yayınları,Lionel Tiger,"18,20"
583,İsa’nın El Yazmaları,E Yayınları,Isaac Gilad,"12,75"
584,Gelecekbilim Kongresi,Cem Yayınevi,Stanislaw Lem,"9,10"
585,Sonlayanlar,Dex Yayınevi,Lissa Price,"12,04"
586,Cestus Hilesi - Star Wars Klon Savaşları Serisi,Arka Bahçe Yayıncılık,Steven Barnes,"20,50"
587,Dune’un Çocukları,Sarmal Yayınevi,Frank Herbert,"16,12"
588,Sessiz Gezegenin Dışında 1. Kitap,Kabalcı Yayınevi,Clive Staples Lewis,"24,50"
589,Ruhun Uzun Karanlık Çay Saati,Kabalcı Yayınevi,Douglas Adams,"24,50"
590,Cebirci,İthaki Yayınları,Iain Banks,"39,65"
591,Sudan Gelen,İthaki Yayınları,Emrah Güler,"18,20"
592,Kırmızı Üniformalılar,İthaki Yayınları,John Scalzi,"31,20"
593,ÖLÜM OYUNU,Pegasus Yayınları,Koushun Takami,"99,00"
594,Sarsıntı,Tiydem Yayıncılık,A. Şerbakov,"20,00"
595,Zenar’ın Geleceği,P Kitap Yayıncılık,Murat Yılmaz,"5,56"
596,Ongay,Elips Kitap,Zübeyir Tokgöz,"4,21"
597,Yokistan Tasarısı,Pan Yayıncılık,İlhan Mimaroğlu,"3,24"
598,Kutsal Dedektiflik Bürosu,Kabalcı Yayınevi,Douglas Adams,"24,50"
599,Artemis Fowl Sonsuzluk Şifresi,Artemis Yayınları,Eoin Colfer,"7,22"
600,Wool 1 - Silo,MonoKL,Hugh Howey,"75,00"
601,Uzayda Piknik,Nirengikitap,Arkadi Ştrugatski,"14,25"
602,Caliban’ın Savaşı,İthaki Yayınları,James S. A. Corey,"41,60"
603,Otostopçu 4. Kitap: Elveda ve Bütün O Balıklar İçin Teşekkürler,Kabalcı Yayınevi,Douglas Adams,"24,50"
604,Dune,Kabalcı Yayınevi,Frank Herbert,"35,00"
605,Maymun ve Öz,İthaki Yayınları,Aldous Huxley,"11,05"
606,Yarın Dündür,İletişim Yayınevi,Jean-Marie Laclavetine,"10,55"
607,Gelecekbilim Kongresi,İletişim Yayınevi,Stanislaw Lem,"6,67"
608,Yıldızlardan Dönüş,İletişim Yayınevi,Stanislaw Lem,"8,89"
609,Başlama Yeri,İletişim Yayınevi,Ursula K. Le Guin,"7,78"
610,Sınırsız Rüyalar Diyarı,Ayrıntı Yayınları,J. G. Ballard,"7,13"
611,Siyah Adam,Artemis Yayınları,Richard K. Morgan,"16,85"
612,Neuromancer,Altıkırkbeş Yayınları,William Gibson,"64,80"
613,Mars Torunları,Tiydem Yayıncılık,A. Kazantsev,"20,00"
614,İlginç Dünya,Tiydem Yayıncılık,V. Şitnik,"18,75"
615,Dune Mesihi,Kabalcı Yayınevi,Frank Herbert,"28,00"
616,Dune Atreides Hanedanı,Kabalcı Yayınevi,Kevin J. Anderson,"35,00"
617,Çoğunlukla Zararsız,Kabalcı Yayınevi,Douglas Adams,"24,50"
618,Dune: Makinelerin Seferi,Kabalcı Yayınevi - Özel Ürünler,Kevin J. Anderson,"39,00"
619,Dune Çocukları,Kabalcı Yayınevi,Frank Herbert,"28,00"
620,Sessizlik Kuleleri -2084-,İthaki Yayınları,Kaan Arslanoğlu,"9,10"
621,On Beş Yaşında Bir Kaptan - 2. Cilt,İthaki Yayınları,Jules Verne,"11,70"
622,İki Yıl Okul Tatili,İthaki Yayınları,Jules Verne,"11,70"
623,Eve Dönüş,İthaki Yayınları,Ray Bradbury,"20,15"
624,Ara Dünya,İthaki Yayınları,Neil Gaiman,"11,70"
625,Dune - Butleryan Cihadı,Kabalcı Yayınevi - Özel Ürünler,Kevin J. Anderson,"39,00"
626,Zoe’nin Öyküsü,İthaki Yayınları,John Scalzi,"27,95"
627,Dünyaların Savaşı,İthaki Yayınları,H. G. Wells,"15,60"
628,Otomatik Alice,Postiga Yayınları,Jeff Noon,"45,50"
629,Ekotopya William Weston’ın Defterleri ve Haberleri,Ayrıntı Yayınları,Ernest Callenbach,"9,98"
630,Zaman Haritası,Koridor Yayıncılık,Felix J. Palma,"12,96"
631,İlk Saldırı,Martı Yayınları,Peter David,"10,19"
632,Perelandra Venüs’e Yolculuk,Kabalcı Yayınevi,C. S. Lewis,"24,50"
633,Otostopçunun Galaksi Rehberi - Beşibiryerde,Kabalcı Yayınevi,Douglas Adams,"52,50"
634,Dune Tanrı İmparatoru,Kabalcı Yayınevi,Frank Herbert,"28,00"
635,Uzay Tazısı’nın Yolculuğu,İthaki Yayınları,A. E. van Vogt,"14,30"
636,Leviathan Uyanıyor -,İthaki Yayınları,James S. A. Corey,"37,70"
637,Erewhon,Kyrhos Yayınları,Samuel Butler,"58,80"
638,Bilim Kurgu Öyküleri,Kyrhos Yayınları,Edgar Allan Poe,"11,02"
639,Yok Eden Ateş / Bağlılık 2. Kitap,İthaki Yayınları,John Scalzi,"123,50"
640,Alevler,Dedalus Kitap - Özel Ürün,Olaf Stapledon,"56,00"
641,John Carter 9: Mars'ın Yapay Adamları,Fihrist Kitap,Edgar Rice Burroughs,"69,65"
642,Haldun,İthaki Yayınları,Alper Kaan Bilir,"58,50"
643,Nehrin Dönemeci,Alfa Yayınları,V. S. Naipaul,"128,00"
644,Dr. Gelecek,Alfa Yayınları,Philip K. Dick,"96,00"
645,Mümkünatı Yok,İthaki Yayınları,Sinclair Lewis,"78,00"
646,Ludus,Epsilon Yayınları,Birsen Ekim Özen,"96,38"
647,Wool Serisi 3 Kitap Takım,İthaki Yayınları,Hugh Howey,"429,50"
648,Hawking’in Koridoru,Martı Yayınları,Neal Shusterman,"84,00"
649,Ölü Dağcı Oteli,İthaki Yayınları,Boris Strugatski,"65,00"
650,Tohumdan Hasada,İthaki Yayınları,Octavia E. Butler,"234,00"
651,İsyan (Karton Kapak),Yabancı Yayınları,Cindy Pon,"78,00"
652,Venüs Korsanları,Fihrist Kitap,Edgar Rice Burroughs,"59,15"
