ID,BookName,Publisher,Author,Price
75,Çelik Mağaralar,İthaki Yayınları,Isaac Asimov,"78,00"
76,R. U. R. - Rossum’un Uluslararası Robotları,İthaki Yayınları,Karel Çapek,"34,45"
77,Vakıf İleri,İthaki Yayınları,Isaac Asimov,"156,00"
78,Depo,İthaki Yayınları,Rob Hart,"118,30"
79,Vakıf Kurulurken,İthaki Yayınları,Isaac Asimov,"154,05"
80,Ay’a Yolculuk,Dex Yayınevi,Jules Verne,"31,85"
81,Vakıf ve Dünya,İthaki Yayınları,Isaac Asimov,"154,05"
82,Vakıf’ın Sınırı,İthaki Yayınları,Isaac Asimov,"139,75"
83,İç Savaş: Bir Marvel Evreni Romanı,İthaki Yayınları,Stuart Moore,"100,10"
84,Yeni Bir Yaşam,Epsilon Yayınevi,Alexandra Monir,"77,03"
85,İlk,İthaki Yayınları,Afşin Kum,"78,65"
86,The 100 Serisi 4 Kitap Takım,GO! Kitap,Kass Morgan,"270,00"
87,1984,İthaki Yayınları,George Orwell,"45,50"
88,Hayvan Çiftliği,İthaki Yayınları,George Orwell,"25,35"
89,Kızıl Veba,İthaki Yayınları,Jack London,"27,95"
90,Evrenin Kıyısında Duruyorum,Yabancı Yayınları,Shaun David Hutchinson,"156,00"
91,Derin Düşünce,Pegasus Yayınları,Garry Kasparov,"90,00"
92,Zaman Makinesi,Dex Yayınevi,H. G. Wells,"8,45"
93,Kör Talih,Alfa Yayınları,Stanislaw Lem,"61,75"
94,Billy Milligan’ın Zihinleri,Koridor Yayıncılık,Daniel Keyes,"91,00"
95,"Ben, Efsane",İthaki Yayınları,Richard Matheson,"78,00"
96,Kent,İthaki Yayınları,Clifford D. Simak,"89,70"
97,Uzayın Keşfi Efsanesi,Perseus,Polat Onat,"35,40"
98,Dönüşüm Hastanesi,Alfa Yayınları,Stanislaw Lem,"61,75"
99,Uzlaştırıcının Pençesi,İthaki Yayınları,Gene Wolfe,"92,95"
100,Nevernight Tanrımezarı,Pegasus Yayınları,Jay Kristoff,"120,00"
101,Yol,İthaki Yayınları,Cormac McCarthy,"74,10"
102,Gökteki Çakıl Taşı - Galaktik İmparatorluk Serisi 3,İthaki Yayınları,Isaac Asimov,"89,70"
103,Dirilen Öfke,İthaki Yayınları,Richard K. Morgan,"148,85"
104,Yaban Diyarlarda Yabancı,İthaki Yayınları,Robert A. Heinlein,"185,90"
105,Ejderhanı Nasıl Eğitirsin 2,Epsilon Yayınevi,Cressida Cowell,"57,53"
106,Çılgın Mucitler,Nesil Genç,Yusuf Asal,"77,00"
107,Toz Gibi Yıldızlar - Galaktik İmparatorluk Serisi 1,İthaki Yayınları,Isaac Asimov,"87,75"
108,İkinci Vakıf - Vakıf Serisi,İthaki Yayınları,Isaac Asimov,"89,70"
109,Artemis,İthaki Yayınları,Andy Weir,"100,10"
110,Vakıf ve İmparatorluk,İthaki Yayınları,Isaac Asimov,"92,95"
111,Otostopçunun Galaksi Rehberi 5 Cilt Tek Kitapta - Ciltli,Alfa Yayınları,Douglas Adams,"321,75"
112,Pazartesi Cumartesiden Başlar,İthaki Yayınları,Arkadi Strugatski,"89,70"
113,Altın Oğul,Pegasus Yayınları,Pierce Brown,"135,00"
114,Efendi Uyanıyor,Maya Kitap,H. G. Wells,"68,60"
115,Yeni Bir Güne Şarkı,İthaki Yayınları,Sarah Pinsker,"114,40"
116,Dune Sapkınları,İthaki Yayınları,Frank Herbert,"161,20"
117,Dünyalar Savaşı,Narsist,H. G. Wells,"53,60"
118,Yok Eden Ateş - Bağlılık 2. Kitap,İthaki Yayınları,John Scalzi,"140,60"
119,Luna : Yeni Ay,Salon Yayınları,Ian Mcdonald,"100,08"
120,Hope,Perseus,H. Capalar,"65,72"
121,Alevler,Dedalus Kitap,Olaf Stapledon,"50,40"
122,Kiracı,Kafka Kitap,Bernard Malamud,"83,53"
123,Seri Katil Yapay Zeka mı ?,Q Yayınları,Polat Onat,"60,00"
124,Bakır Krallığı,Epsilon Yayınevi,S.A. Chakraborty,"191,75"
125,Devlerin Takım Çantası,Epsilon Yayınevi,Tim Ferriss,"187,53"
126,Kopya Ölüm,Epsilon Yayınevi,Nora Roberts,"90,03"
127,Ab-ı Hayat III,İz Yayıncılık,Ömer Faruk Dönmez,"71,28"
128,Siyah Tanrı`nın Davulları,İthaki Yayınları,P. Djeli Clark,"44,20"
129,İmparatorluk Denen Bir Anı,İthaki Yayınları,Arkady Martine,"120,25"
130,Venüs’ün Derinliklerinde Venüs Dizisi: 2,Fihrist Kitap,Edgar Rice Burroughs,"70,02"
131,Yükseliş,Sahi Kitap,Eric Berger,"108,00"
132,Dr. Gelecek,Alfa Yayınları,Philip K. Dick,"78,00"
